Serum,Serum group
rS-WA1,614D vac protein
rS-Alpha,B.1.1.7 vac protein
rS-Beta,B.1.351 vac protein
rS-Gamma,P.1 vac protein
rS-Delta,B.1.617.2 vac protein
rS-Delta_plus,B.1.617.2+K417N vac protein
