,1081,1243,1244,1245,1246,1247,1248,07-555-0213,07-555-0215,07-555-0268,07-555-0338,07-555-0339,07-555-0340,07-555-0341,07-555-0342,07-555-0344,07-555-0345,nCOV4001ECC,nCOV4004ECC,nCOV4005ECC,nCOV4006ECC,nCOV4010ECC,nCOV4011ECC,nCOV4012ECC,nCOV4013ECC,nCOV4014ECC,nCOV4017ECC,nCOV4018ECC,nCOV4026ECC,nCOV4031ECC,nCOV4043ECC,nCOV4049ECC,nCOV4055ECC,nCOV4067ECC,782507714,867105307,867925915,867832798,867485368,751630239,751480338,762511414,754103370,867684911,770591159,751399896,775561673,775953402,723978478,723276453,775984923,CC165,CC167,CC176,CC174,CC173,CC163,CC160,CC153,CC166,CC168,CC164,CC169,CC149,CC129
WA1,368.0854005,271.4990827,300.739639,216.4483712,266.7751934,357.8573698,1090.136404,417.155058,521.0043877,1728.160327,354.7872287,380.5684987,411.0274641,717.1074985,1756.24921,437.9101529,479.0877926,105.9458457,211.558423,185.9241489,19.19368794,174.8461613,571.6672656,122.7388318,283.9762167,397.2360968,867.0485249,345.295272,435.1644125,284.6560622,346.6432291,77.55419075,100.5803794,39.03112731,<20,65.97693613,<20,223.252377,<20,<20,14.31436971,<20,<20,42.82472585,41.74702719,<20,<20,<20,<20,<20,<20,149.919947,10901.13301,3707.161221,1278.388896,2376.39658,246.2000017,70.3402004,105.8557187,1884.450179,79.69139206,2107.905139,126.5642211,37.60874673,<20
B.1.351,131.5501889,38.92245037,109.052392,77.63579511,89.91255166,90.1066026,351.8965677,46.55494867,102.284623,596.6315006,52.49982496,53.13681353,104.69147,218.6225733,559.8074259,87.45962154,84.42987483,<20,26.68380487,42.89195534,<20,31.3117514,260.7603402,<20,43.2157127,109.1733127,61.98124179,44.8587511,27.68036156,59.65803245,47.85936968,<20,38.01334986,<20,435.6218426,1652.737787,86.16885822,212.7472612,26.12946345,15.04678001,235.0261789,56.80572633,94.44684255,168.2908141,655.6591834,56.55655095,275.4071271,260.5369984,128.1214914,210.6842688,162.0015941,*,*,*,*,*,*,*,*,*,*,*,*,*,*
R.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A.23.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
C.37,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
B.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
B.1.617.2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1893.628834,15300.07609,6151.925049,1762.021127,4397.15473,2295.589423,2855.632199,135.2219982,2939.775666,3064.732184,4885.063163,6809.001703,32.19077467,<20
B.1.617.2_K417N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
B.1.617.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
B.1.525,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
B.1.526,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
B.1.526_E484K,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
B.1.1.7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
B.1.1.7_E484K,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
B.1.621,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
