,1081,1243,1244,1245,1246,1247,1248,07-555-0213,07-555-0215,07-555-0268,07-555-0338,07-555-0339,07-555-0340,07-555-0341,07-555-0342,07-555-0344,07-555-0345,nCOV4001ECC,nCOV4004ECC,nCOV4005ECC,nCOV4006ECC,nCOV4010ECC,nCOV4011ECC,nCOV4012ECC,nCOV4013ECC,nCOV4014ECC,nCOV4017ECC,nCOV4018ECC,nCOV4026ECC,nCOV4031ECC,nCOV4043ECC,nCOV4049ECC,nCOV4055ECC,nCOV4067ECC,782507714,867105307,867925915,867832798,867485368,751630239,751480338,762511414,754103370,867684911,770591159,751399896,775561673,775953402,723978478,723276453,775984923,CC165,CC167,CC176,CC174,CC173,CC163,CC160,CC153,CC166,CC168,CC164,CC169,CC149,CC129
WA1,583.9756577,418.9267597,564.5132033,413.4692521,594.0830891,723.2364402,1475.66112,709.7931923,1346.730246,3775.198185,577.9989896,619.0474869,1307.87143,1029.912201,3915.784485,824.1144042,955.0187755,45.2853237,101.4837925,110.332482,22.71029088,161.0828014,427.0935657,63.67116178,101.4917616,274.5013504,249.3438294,150.7571358,396.6537674,143.2498412,121.2787668,32.1427245,54.39202575,<20,<20,52.72914428,<20,162.9863203,<20,<20,<20,<20,<20,41.74944416,25.84993432,<20,<20,<20,<20,<20,38.60832543,177.5089859,5838.43155,2553.480161,1022.96391,2379.255028,272.0446719,64.98160051,127.9124827,*,*,*,*,*,*
B.1.351,119.6215463,35.00373529,105.9420068,67.63447893,84.47527587,102.1535372,331.4277349,40.37003284,70.29486827,655.2035359,50.82407629,60.51382458,129.8753727,245.3562864,606.2092222,91.2181671,106.7852537,<20,26.65675059,22.79768185,20.02814112,<20,205.7522425,<20,27.20894212,98.27621373,65.95102028,50.12690427,51.51268369,64.13824598,31.60539988,<20,54.11146876,<20,272.5549156,1338.030493,96.27557481,167.5297965,40.5196453,23.97997092,267.8664469,54.84118909,56.44127244,89.22565805,843.0734284,55.53219614,270.2967478,305.528435,90.59306616,314.5546782,147.7880639,116.4230088,6770.422098,224.0124338,1230.033987,2443.22523,142.359879,26.34281842,58.49164322,*,*,*,*,*,*
R.1,426.0691465,289.2519346,235.8454789,280.9866022,396.8870225,264.0504525,724.2223501,233.960247,520.314784,2163.609745,176.5561396,573.1254139,360.7270456,654.3848073,933.7267704,405.3615501,355.8644741,36.72572838,71.10260031,167.6156509,<20,75.94906015,697.1514293,<20,109.8688509,367.6586557,139.2795428,84.42564917,71.01817467,142.6799849,49.75229469,<20,60.68212437,<20,123.886022,491.8180771,126.5752462,271.4916774,<20,<20,134.5810011,<20,45.02389467,121.0632416,370.9882199,29.21772494,51.19671198,108.8821002,92.51946233,208.7271642,142.8098557,177.9433006,8158.138037,2255.236376,1341.844875,2836.739168,326.2837975,65.84821196,109.13849,*,*,*,*,*,*
A.23.1,791.5958133,272.1657193,494.7150625,269.5806768,317.891758,744.618062,1911.529383,566.06785,1216.947633,3855.433233,751.3278333,863.6820858,989.8639066,1273.205379,2010.64158,1226.298005,1002.509552,232.0916845,507.0997141,631.0788542,71.94800432,475.7796509,1772.860696,255.8051937,799.8882684,1643.701968,939.3104247,624.8075895,607.8209941,749.9397166,985.6331772,159.9615439,304.5446279,273.7784764,45.30163273,528.3616662,102.453996,570.1501319,<20,<20,72.15795907,<20,<20,79.70871082,171.8359752,<20,33.27343804,26.07858534,<20,22.95878212,162.0442058,452.2302663,13861.92112,4859.729211,1255.935394,5669.055872,571.3119424,190.7253046,167.1853174,*,*,*,*,*,*
C.37,360.847371,214.7257135,228.5924513,162.201684,288.7576267,222.7123092,576.961931,423.231669,320.1769885,1309.328245,168.3042779,317.339801,411.9649066,509.3746777,963.1146075,278.965575,389.8902013,35.48393049,136.0692661,192.6179162,32.66611765,140.1840704,591.2720661,41.88935613,189.6298876,416.8482589,625.5036318,323.2211081,153.4557527,159.6853838,123.0306274,40.21518363,99.84397013,29.36843429,81.16407261,267.8311452,<20,243.805278,<20,<20,60.46830258,<20,<20,63.73662309,125.8460924,<20,22.13193454,29.53282928,<20,31.01553777,192.8721318,198.0759454,14670.07228,2116.095646,936.084419,3119.739428,564.7144603,123.2137136,99.06409242,*,*,*,*,*,*
B.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,113.9066841,171.9849031,239.189188,43.1524882,225.3125098,1013.423882,112.0246712,242.0006421,420.6827864,404.5401057,261.9271273,451.5834374,257.8159478,281.9513254,75.49250573,155.7105514,31.11270428,<20,77.82333963,<20,161.6204186,<20,<20,22.75075001,<20,<20,45.77881505,69.25538576,<20,<20,<20,<20,<20,22.31918038,130.9009194,6150.219983,1997.51973,666.1596646,1809.161251,270.3458814,81.32361104,92.56519508,*,*,*,*,*,*
B.1.617.2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,43.37559761,95.24180123,105.7253896,<20,64.22443454,704.3913097,33.44615242,118.4173913,194.4581597,256.014478,186.9795214,49.9993312,91.53122696,48.41236348,24.13399516,64.7284246,62.80465196,<20,140.1232372,<20,134.272609,55542.06423,<20,41.7755201,<20,<20,42.81242542,45.03504735,<20,<20,<20,<20,<20,78.90387804,2485.090322,8435.349672,2883.532394,1359.128022,3666.112192,2066.001922,3081.851734,146.5931827,*,*,*,*,*,*
B.1.617.2_K417N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,53.86499976,179.5237072,113.7450159,<20,111.3260378,382.7171282,42.64623607,118.94853,312.8604555,510.6208288,263.5118796,98.56967641,123.8788711,89.02827793,60.68477831,132.4918529,101.8539217,48.27202691,628.7612105,<20,246.0651574,<20,<20,85.49600545,<20,<20,60.60461134,51.66905073,<20,36.10086384,<20,<20,<20,211.9161566,2266.808896,11209.83374,3874.28839,1209.192815,4251.883107,2416.223306,3058.245322,149.4534871,*,*,*,*,*,*
B.1.617.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,<20,<20,78.23255382,<20,32.39799254,388.2361441,<20,67.80466655,233.3411511,109.8217711,64.02823919,41.30680552,69.70407896,41.59017439,<20,38.16639848,<20,37.6026807,82.58505439,<20,133.7029169,<20,<20,35.14388017,<20,<20,39.05558431,71.27445093,<20,<20,<20,<20,<20,112.7962306,139.9180265,4897.294546,1001.596021,627.6437224,1647.428542,279.5548204,66.6261418,50.62311034,*,*,*,*,*,*
B.1.525,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,<20,51.8625996,101.1824072,<20,48.08810319,600.1474079,<20,63.89248756,56.66949457,104.5391316,57.78096646,41.86672729,71.89796744,52.09417185,<20,52.85752637,<20,301.4688662,905.3139012,132.3823401,372.8687078,43.45945311,22.16297577,205.7187377,100.9185049,<20,103.6558038,408.8790727,36.18779352,107.164678,172.9691701,113.8927411,279.9706055,226.6820172,322.6581907,8115.290604,4155.439255,2486.729136,3479.130684,803.82235,56.04408318,168.9766892,*,*,*,*,*,*
B.1.526,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,80.09830286,250.1172286,313.0123756,51.43524143,234.9604479,993.4963439,101.1342383,273.340151,607.420421,519.6938212,324.2170828,534.2865349,217.4000191,217.0818419,60.26964288,86.23217891,49.75294509,28.94337323,95.75127805,<20,170.114052,<20,<20,30.44269762,<20,<20,44.5679103,54.22857992,<20,<20,<20,<20,<20,36.91267483,237.0590954,7761.906576,1956.715775,1162.146298,2912.083028,395.308345,100.2639225,122.1099922,*,*,*,*,*,*
B.1.526_E484K,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,22.63703615,86.44629788,144.0416388,<20,74.9363236,754.4690935,<20,91.02634105,435.5482801,143.4119206,106.1168422,49.07666337,135.811883,69.4050404,22.68394914,84.63079879,<20,54.13441114,242.5102773,76.96021741,202.177244,<20,<20,67.54275477,<20,<20,61.64565534,181.6525308,<20,26.01251042,76.1164757,37.57032327,131.9320871,120.4528502,115.4468668,7093.273905,816.6170829,748.6304277,2000.056359,219.7473427,33.26360686,42.53682527,*,*,*,*,*,*
B.1.1.7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,28.28331,127.0500919,140.6680737,24.24011854,214.8718471,509.3037258,<20,121.2098632,75.10221551,247.1156076,225.2037934,389.8440023,140.7274758,267.6561322,55.84914363,100.8287545,21.70752991,176.0110961,694.0349654,<20,293.9977442,<20,<20,103.1916007,26.08072869,<20,102.100992,317.0324628,28.8340869,257.2982758,113.5196584,<20,170.8150453,139.5766372,135.9067005,7928.549119,3350.694706,3095.063399,6202.45078,599.6737134,211.2403854,374.7914301,*,*,*,*,*,*
