,D614G-1,D614G-2,D614G-3,D614G-4,Alpha-1,Alpha-2,Alpha-3,Alpha-4,Beta-1,Beta-2,Beta-3,Beta-4,Delta-1,Delta-2,Delta-3,Delta-4,BA.1-1,BA.1-2,BA.1-3,BA.1-4
614D,1220,1789,4040,841.4,159.1,706.8,294.5,349.4,97.97,250.4,137.3,81.03,1100,783.2,1698,1273,233.5,160,131.2,198.4
614G,2702,3825,5710,1502,351.6,1579,501.7,503.3,79.45,561.3,303.7,174.1,1357,990.7,1903,2022,174.1,96.58,109.9,178.5
Alpha,2041,2214,3534,1686,1031,1647,1197,1185,101,1510,1057,490.3,1641,1425,1623,1900,316.4,142.9,155.5,392.2
Beta,2258,209.9,723.3,1120,171.9,974.1,384.7,246.8,764.5,3365,2071,665,564.2,579.8,790.3,646.1,116.5,83.41,59.29,115.4
Delta,1886,1300,2492,1507,683.7,1119,534.1,639.9,145.6,543.9,322.6,147.1,3051,5892,5458,6054,403.8,227.6,247.6,488.1
Kappa,2150,1159,2798,1622,321.5,1009,271.7,462.5,299.8,1289,322.9,97.85,1797,1872,4103,2322,432.2,672.1,653.1,674.4
Omicron,48.39,56.68,131.3,208.9,10,217,42.72,10,10,103.4,115.3,80.55,419.8,89.96,1220,383.6,3449,3133,3361,4207
